Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-09-16,148.7212371826172,149.36271142090462,146.4218293394224,149.22455028716234,162278800
2022-09-19,152.45159912109375,152.53055048964774,147.14225134713436,147.34948551345897,81474200
2022-09-20,154.83984375,156.0043577800845,151.07000947628035,151.38579993733708,107689800
2022-09-21,151.7016143798828,156.6557045846627,151.58319483232563,155.27407794326896,101696800
2022-09-22,150.7344512939453,152.44173129494766,148.92847832058902,150.37917767527796,86652500
2022-09-23,148.45480346679688,149.4811563994393,146.60936192506745,149.2048340849056,96029900
2022-09-26,148.79031372070312,151.75092212100176,147.67514640455875,147.6948880102553,93339400
2022-09-27,149.76731872558594,152.68845924345578,147.98108723466274,150.7344617346572,84442700
2022-09-28,147.87254333496094,148.66204205913598,142.9381951319115,145.70143313730634,146691400
2022-09-29,140.60916137695312,144.7934934551737,138.83279327495222,144.18163918720862,128138200
2022-09-30,136.3853759765625,141.2210460611346,136.18800506786133,139.42493615755308,124925300
2022-10-03,140.57955932617188,141.19142866488522,135.88206585827712,136.39524222216883,114311700
2022-10-04,144.18165588378906,144.30007541815792,142.36580435900075,143.12569817421627,87830100
2022-10-05,144.4777069091797,145.44484998263232,141.13221948664446,142.17831393701783,79471000
2022-10-06,143.52044677734375,145.60274235287363,143.31321258240413,143.895462065149,68402200
2022-10-07,138.2505645751953,141.22105183590455,137.61896860646343,140.6683921871329,85925600
2022-10-10,138.57623291015625,140.0269324842531,136.75053311295184,138.57623291015625,74899000
2022-10-11,137.1551513671875,139.49404287569013,136.40513579064609,138.06306971513882,77033700
2022-10-12,136.52354431152344,138.51702522883681,136.3459150018641,137.3031797708572,70433700
2022-10-13,141.11248779296875,141.7046005106399,132.6056617056489,133.21753108987443,113224000
2022-10-14,136.56300354003906,142.62238154840435,136.37549592938134,142.41513233177395,88598000
2022-10-17,140.54010009765625,141.02365655306738,138.4281998048671,139.21769847828358,85250900
2022-10-18,141.8624725341797,144.77373417623826,138.7637033016834,143.57963066623748,99136600
2022-10-19,141.97103881835938,143.04672289831205,139.64202632814627,139.82953393185838,61758300
2022-10-20,141.50723266601562,143.97440668910568,140.77694373414428,141.14209572929755,64522000
2022-10-21,145.33628845214844,145.90867462024406,140.7769407155068,140.99405322955806,86548600
2022-10-24,147.4876708984375,148.25742804538453,144.08297350872007,145.25735083913412,75981900
2022-10-25,150.33969116210938,150.4877306173899,147.39882436341958,148.11923485879902,74732300
2022-10-26,147.38897705078125,149.9943121264643,146.09616525843597,148.9778376688811,88194300
2022-10-27,142.8987274169922,147.09292340264514,142.23752656273683,146.12579536819774,109180200
2022-10-28,153.695068359375,155.4319533375391,145.87906336998515,146.25406355734995,164762400
2022-10-31,151.3265838623047,152.2147755550462,149.92523080942135,151.1489545588176,97943200
2022-11-01,148.67189025878906,153.40886706506188,147.17185939924275,153.0437301537615,80379300
2022-11-02,143.12571716308594,150.17196650314528,143.09611227556596,146.99424473621292,93604600
2022-11-03,137.0564422607422,140.92496892991684,136.92814440584334,140.19468007204958,97918500
2022-11-04,136.78955078125,141.03023754059535,132.83552430474884,140.456901891493,140814800
2022-11-07,137.32333374023438,137.55068603269024,134.11068732115655,135.5341392248018,83374600
2022-11-08,137.89669799804688,139.80450887367877,135.90980476875018,138.79624280214017,89908500
2022-11-09,133.3198699951172,136.95758184489978,133.04308937521566,136.90815350204326,74917800
2022-11-10,145.18197631835938,145.18197631835938,137.8966866598679,139.61669377296678,118854000
2022-11-11,147.97943115234375,148.285865777023,142.7106893014463,144.14403590087628,93979700
2022-11-14,146.57574462890625,148.55275765609238,145.7355080589872,147.25781653663145,73374100
2022-11-15,148.31553649902344,151.82473825025608,146.85255082741247,150.47048891741846,89868300
